Date,AAPL,AGG,AMZN,BA,GOOG,IBM,MGM,QQQ,SPY,T
2014-02-25,18.645000457763672,107.98999786376953,358.32000732421875,126.77999877929688,607.7221069335938,183.22999572753906,27.540000915527344,90.30999755859375,184.83999633789062,32.16999816894531
2014-02-26,18.47678565979004,108.22000122070312,359.79998779296875,126.61000061035156,607.8067626953125,184.05999755859375,27.489999771118164,90.2300033569336,184.85000610351562,32.0
2014-02-27,18.84535789489746,108.33000183105469,360.1300048828125,128.55999755859375,607.32861328125,185.27000427246094,27.860000610351562,90.44000244140625,185.82000732421875,32.22999954223633
2014-02-28,18.79428482055664,108.2699966430664,362.1000061035156,128.9199981689453,605.5552368164062,185.1699981689453,27.549999237060547,90.33999633789062,186.2899932861328,31.93000030517578
2014-03-03,18.84857177734375,108.3499984741211,359.7799987792969,128.22000122070312,599.0994262695312,184.25999450683594,27.600000381469727,89.66999816894531,184.97999572753906,31.860000610351562
2014-03-04,18.972856521606445,107.94999694824219,363.8999938964844,130.22999572753906,605.1865844726562,186.44000244140625,28.290000915527344,90.80999755859375,187.5800018310547,32.150001525878906
2014-03-05,19.01285743713379,108.01000213623047,372.3699951171875,128.7899932861328,606.8553466796875,187.13999938964844,28.219999313354492,91.05999755859375,187.75,32.130001068115234
2014-03-06,18.95535659790039,107.7699966430664,372.1600036621094,128.86000061035156,607.52783203125,187.63999938964844,28.389999389648438,90.9800033569336,188.17999267578125,32.34000015258789
2014-03-07,18.944286346435547,107.47000122070312,372.05999755859375,128.5399932861328,605.1268310546875,187.67999267578125,28.290000915527344,90.52999877929688,188.25999450683594,32.540000915527344
2014-03-10,18.961427688598633,107.47000122070312,370.5299987792969,126.88999938964844,603.5228271484375,186.38999938964844,27.709999084472656,90.61000061035156,188.16000366210938,32.5099983215332
2014-03-11,19.14607048034668,107.45999908447266,368.82000732421875,125.66999816894531,597.7544555664062,186.75999450683594,27.049999237060547,90.22000122070312,187.22999572753906,32.22999954223633
2014-03-12,19.164642333984375,107.69999694824219,370.6400146484375,124.43000030517578,601.3958129882812,186.22000122070312,26.950000762939453,90.55999755859375,187.27999877929688,32.380001068115234
2014-03-13,18.951786041259766,107.9800033569336,371.510009765625,121.88999938964844,592.3098754882812,183.89999389648438,26.5,89.27999877929688,185.17999267578125,32.349998474121094
2014-03-14,18.738927841186523,107.93000030517578,373.739990234375,123.11000061035156,584.2102661132812,182.2100067138672,26.270000457763672,88.66999816894531,184.66000366210938,32.4900016784668
2014-03-17,18.812143325805664,107.87000274658203,375.0400085449219,125.41999816894531,593.82421875,185.80999755859375,26.610000610351562,89.44999694824219,186.3300018310547,32.88999938964844
2014-03-18,18.97857093811035,108.0,378.7699890136719,124.04000091552734,603.368408203125,186.80999755859375,26.790000915527344,90.52999877929688,187.66000366210938,32.97999954223633
2014-03-19,18.97357177734375,107.5199966430664,373.2300109863281,122.23999786376953,597.3858642578125,184.7100067138672,26.579999923706055,90.04000091552734,186.66000366210938,32.959999084472656
