Date,AGG,BA,FMS,GAIA,GOOG,QQQ,RC,SPY,T
2016-03-24,110.11000061035156,132.1199951171875,42.56999969482422,5.900000095367432,735.2999877929688,107.26000213623047,15.270000457763672,203.1199951171875,38.880001068115234
2016-03-28,110.19000244140625,131.2899932861328,42.68000030517578,5.980000019073486,733.530029296875,107.11000061035156,15.25,203.24000549316406,39.06999969482422
2016-03-29,110.5199966430664,130.8800048828125,43.68000030517578,6.28000020980835,744.77001953125,108.83000183105469,14.920000076293945,205.1199951171875,39.45000076293945
2016-03-30,110.4800033569336,128.5800018310547,44.0,6.179999828338623,750.530029296875,109.36000061035156,14.899999618530273,206.02000427246094,39.369998931884766
2016-03-31,110.83000183105469,126.94000244140625,44.08000183105469,6.400000095367432,744.9500122070312,109.19999694824219,14.920000076293945,205.52000427246094,39.16999816894531
2016-04-01,110.51000213623047,126.95999908447266,43.959999084472656,6.260000228881836,749.9099731445312,110.36000061035156,14.829999923706055,206.9199981689453,39.04999923706055
2016-04-04,110.62000274658203,126.33999633789062,44.40999984741211,6.039999961853027,745.2899780273438,109.94000244140625,14.90999984741211,206.25,39.36000061035156
2016-04-05,110.7699966430664,127.02999877929688,43.56999969482422,6.239999771118164,737.7999877929688,108.87999725341797,14.760000228881836,204.19000244140625,39.189998626708984
2016-04-06,110.75,127.93000030517578,44.7400016784668,6.300000190734863,745.6900024414062,110.66999816894531,14.75,206.4199981689453,38.63999938964844
2016-04-07,110.98999786376953,127.0,44.41999816894531,6.400000095367432,740.280029296875,109.08000183105469,14.90999984741211,203.9499969482422,38.59000015258789
2016-04-08,110.87999725341797,127.87999725341797,44.5,6.409999847412109,739.1500244140625,109.0,14.880000114440918,204.5,38.5
2016-04-11,110.95999908447266,127.91000366210938,44.29999923706055,6.269999980926514,736.0999755859375,108.5999984741211,15.079999923706055,204.02000427246094,38.38999938964844
2016-04-12,110.77999877929688,129.47000122070312,44.68000030517578,6.349999904632568,743.0900268554688,109.51000213623047,15.109999656677246,205.9199981689453,38.66999816894531
2016-04-13,110.83000183105469,131.13999938964844,44.41999816894531,6.349999904632568,751.719970703125,110.91000366210938,15.149999618530273,208.0,38.25
2016-04-14,110.63999938964844,130.85000610351562,44.54999923706055,6.349999904632568,753.2000122070312,110.91999816894531,15.130000114440918,208.00999450683594,38.41999816894531
2016-04-15,110.94999694824219,131.1300048828125,44.369998931884766,6.329999923706055,759.0,110.63999938964844,15.0600004196167,207.77999877929688,38.47999954223633
2016-04-18,110.94000244140625,131.97000122070312,45.0099983215332,6.460000038146973,766.6099853515625,111.2300033569336,14.960000038146973,209.24000549316406,38.650001525878906
2016-04-19,110.93000030517578,132.67999267578125,45.459999084472656,6.46999979019165,753.9299926757812,110.55000305175781,14.899999618530273,209.89999389648438,38.91999816894531
2016-04-20,110.66000366210938,130.57000732421875,44.880001068115234,6.710000038146973,752.6699829101562,110.63999938964844,14.819999694824219,210.10000610351562,38.720001220703125
2016-04-21,110.51000213623047,130.74000549316406,44.599998474121094,6.579999923706055,759.1400146484375,110.6500015258789,14.5,208.97000122070312,37.86000061035156
2016-04-22,110.5199966430664,131.0500030517578,44.619998931884766,6.590000152587891,718.77001953125,108.9800033569336,14.640000343322754,208.97000122070312,38.06999969482422
2016-04-25,110.4000015258789,130.75,44.560001373291016,6.670000076293945,723.1500244140625,108.9800033569336,14.619999885559082,208.61000061035156,38.209999084472656
2016-04-26,110.3499984741211,133.24000549316406,44.290000915527344,6.590000152587891,708.1400146484375,108.44999694824219,14.65999984741211,208.9199981689453,38.09000015258789
2016-04-27,110.68000030517578,137.0800018310547,44.47999954223633,6.599999904632568,705.8400268554688,107.58000183105469,14.529999732971191,209.35000610351562,38.720001220703125
